t,density
0.000000,2.000000
0.010052,1.931746
0.020103,1.870594
0.030155,1.815528
0.040207,1.765827
0.050258,1.721456
0.060310,1.681172
0.070362,1.644606
0.080414,1.611622
0.090465,1.581576
0.100517,1.554395
0.110569,1.529652
0.120620,1.506936
0.130672,1.486283
0.140724,1.467115
0.150775,1.449442
0.160827,1.433183
0.170879,1.418155
0.180931,1.404299
0.190982,1.391360
0.201034,1.379368
0.211086,1.367954
0.221137,1.357298
0.231189,1.347605
0.241241,1.338294
0.251292,1.329730
0.261344,1.321451
0.271396,1.313648
0.281447,1.305991
0.291499,1.298760
0.301551,1.292138
0.311603,1.285744
0.321654,1.279614
0.331706,1.273780
0.341758,1.268193
0.351809,1.262790
0.361861,1.257634
0.371913,1.252456
0.381964,1.247504
0.392016,1.242843
0.402068,1.238316
0.412120,1.234020
0.422171,1.229773
0.432223,1.225402
0.442275,1.221193
0.452326,1.217028
0.462378,1.213066
0.472430,1.209512
0.482481,1.205622
0.492533,1.201926
0.502585,1.198358
0.512636,1.194697
0.522688,1.191460
0.532740,1.188067
0.542792,1.184674
0.552843,1.181599
0.562895,1.178416
0.572947,1.175412
0.582998,1.172474
0.593050,1.169358
0.603102,1.166270
0.613153,1.163306
0.623205,1.160430
0.633257,1.157556
0.643308,1.154889
0.653360,1.152010
0.663412,1.149237
0.673464,1.146803
0.683515,1.144321
0.693567,1.141553
0.703619,1.138817
0.713670,1.136278
0.723722,1.133695
0.733774,1.131322
0.743825,1.128604
0.753877,1.126300
0.763929,1.124083
0.773980,1.121656
0.784032,1.119290
0.794084,1.116899
0.804136,1.114642
0.814187,1.112359
0.824239,1.110074
0.834291,1.107817
0.844342,1.105686
0.854394,1.103502
0.864446,1.101330
0.874497,1.099208
0.884549,1.097016
0.894601,1.094952
0.904653,1.092889
0.914704,1.090865
0.924756,1.088682
0.934808,1.086573
0.944859,1.084582
0.954911,1.082662
0.964963,1.080740
0.975014,1.078803
0.985066,1.076940
0.995118,1.075017
1.005170,1.073062
1.015221,1.071136
1.025273,1.069299
1.035325,1.067438
1.045376,1.065706
1.055428,1.063972
1.065480,1.062169
1.075531,1.060329
1.085583,1.058438
1.095635,1.056663
1.105686,1.054800
1.115738,1.053125
1.125790,1.051415
1.135841,1.049702
1.145893,1.048032
1.155945,1.046370
1.165997,1.044700
1.176048,1.043005
1.186100,1.041174
1.196152,1.039632
1.206203,1.038084
1.216255,1.036758
1.226307,1.035383
1.236359,1.033795
1.246410,1.032140
1.256462,1.030640
1.266514,1.029169
1.276565,1.027655
1.286617,1.025943
1.296669,1.024343
1.306720,1.022905
1.316772,1.021794
1.326824,1.020547
1.336875,1.018977
1.346927,1.017514
1.356979,1.016167
1.367031,1.014846
1.377082,1.013610
1.387134,1.012320
1.397186,1.010836
1.407237,1.009452
1.417289,1.008080
1.427341,1.006702
1.437392,1.005375
1.447444,1.003996
1.457496,1.002758
1.467547,1.001545
1.477599,1.000197
1.487651,0.998857
1.497703,0.997426
1.507754,0.996214
1.517806,0.994993
1.527858,0.993843
1.537909,0.992600
1.547961,0.991438
1.558013,0.990147
1.568064,0.988987
1.578116,0.987753
1.588168,0.986424
1.598220,0.985301
1.608271,0.984218
1.618323,0.983162
1.628375,0.982073
1.638426,0.980879
1.648478,0.979610
1.658530,0.978308
1.668581,0.977185
1.678633,0.975952
1.688685,0.974772
1.698736,0.973640
1.708788,0.972529
1.718840,0.971461
1.728891,0.970301
1.738943,0.969309
1.748995,0.968297
1.759047,0.967142
1.769098,0.966242
1.779150,0.965175
1.789202,0.964131
1.799253,0.962891
1.809305,0.961799
1.819357,0.960729
1.829409,0.959813
1.839460,0.958888
1.849512,0.957788
1.859564,0.956736
1.869615,0.955692
1.879667,0.954580
1.889719,0.953585
1.899770,0.952596
1.909822,0.951555
1.919874,0.950514
1.929925,0.949568
1.939977,0.948746
1.950029,0.947840
1.960081,0.946853
1.970132,0.945777
1.980184,0.944659
1.990236,0.943769
2.000287,0.942705
2.010339,0.941810
2.020391,0.940844
2.030442,0.939790
2.040494,0.938876
2.050546,0.937986
2.060597,0.937239
2.070649,0.936281
2.080701,0.935314
2.090753,0.934494
2.100804,0.933624
2.110856,0.932740
2.120908,0.931966
2.130959,0.931085
2.141011,0.930134
2.151063,0.929074
2.161114,0.928191
2.171166,0.927387
2.181218,0.926510
2.191269,0.925672
2.201321,0.924722
2.211373,0.923949
2.221425,0.923064
2.231476,0.922175
2.241528,0.921387
2.251580,0.920565
2.261631,0.919629
2.271683,0.918769
2.281735,0.917954
2.291786,0.917226
2.301838,0.916563
2.311890,0.915787
2.321942,0.914985
2.331993,0.914282
2.342045,0.913510
2.352097,0.912631
2.362148,0.911922
2.372200,0.911071
2.382252,0.910291
2.392303,0.909516
2.402355,0.908545
2.412407,0.907582
2.422458,0.906870
2.432510,0.906124
2.442562,0.905292
2.452614,0.904469
2.462665,0.903810
2.472717,0.903338
2.482769,0.902633
2.492820,0.901950
2.502872,0.901124
2.512924,0.900402
2.522975,0.899685
2.533027,0.898986
2.543079,0.898131
2.553131,0.897486
2.563182,0.896834
2.573234,0.896046
2.583286,0.895226
2.593337,0.894524
2.603389,0.893644
2.613441,0.892772
2.623492,0.892135
2.633544,0.891257
2.643596,0.890505
2.653647,0.889983
2.663699,0.889589
2.673751,0.888867
2.683803,0.888144
2.693854,0.887556
2.703906,0.886843
2.713958,0.886293
2.724009,0.885568
2.734061,0.884836
2.744113,0.884130
2.754164,0.883268
2.764216,0.882564
2.774268,0.881723
2.784319,0.881118
2.794371,0.880513
2.804423,0.879733
2.814475,0.879085
2.824526,0.878325
2.834578,0.877748
2.844630,0.877138
2.854681,0.876449
2.864733,0.875890
2.874785,0.875365
2.884836,0.874584
2.894888,0.873852
2.904940,0.873303
2.914992,0.872710
2.925043,0.872042
2.935095,0.871374
2.945147,0.870734
2.955198,0.870146
2.965250,0.869487
2.975302,0.868930
2.985353,0.868265
2.995405,0.867772
3.005457,0.867196
3.015508,0.866598
3.025560,0.865984
3.035612,0.865236
3.045664,0.864688
3.055715,0.863929
3.065767,0.863398
3.075819,0.862747
3.085870,0.862234
3.095922,0.861670
3.105974,0.861029
3.116025,0.860420
3.126077,0.859764
3.136129,0.859145
3.146181,0.858531
3.156232,0.858010
3.166284,0.857422
3.176336,0.856924
3.186387,0.856271
3.196439,0.855628
3.206491,0.854975
3.216542,0.854384
3.226594,0.853925
3.236646,0.853278
3.246697,0.852688
3.256749,0.852158
3.266801,0.851556
3.276853,0.851159
3.286904,0.850688
3.296956,0.850012
3.307008,0.849432
3.317059,0.848765
3.327111,0.848204
3.337163,0.847733
3.347214,0.847232
3.357266,0.846744
3.367318,0.846303
3.377369,0.845842
3.387421,0.845252
3.397473,0.844857
3.407525,0.844229
3.417576,0.843744
3.427628,0.843291
3.437680,0.842732
3.447731,0.842124
3.457783,0.841640
3.467835,0.841026
3.477886,0.840470
3.487938,0.839882
3.497990,0.839398
3.508042,0.838857
3.518093,0.838279
3.528145,0.837756
3.538197,0.837340
3.548248,0.836933
3.558300,0.836458
3.568352,0.835933
3.578403,0.835439
3.588455,0.834854
3.598507,0.834297
3.608558,0.833945
3.618610,0.833446
3.628662,0.832930
3.638714,0.832452
3.648765,0.831920
3.658817,0.831556
3.668869,0.831005
3.678920,0.830559
3.688972,0.830201
3.699024,0.829576
3.709075,0.829080
3.719127,0.828734
3.729179,0.828235
3.739231,0.827698
3.749282,0.827082
3.759334,0.826548
3.769386,0.826019
3.779437,0.825688
3.789489,0.825257
3.799541,0.824841
3.809592,0.824226
3.819644,0.823791
3.829696,0.823315
3.839747,0.822832
3.849799,0.822235
3.859851,0.821626
3.869903,0.821248
3.879954,0.820650
3.890006,0.820268
3.900058,0.819814
3.910109,0.819365
3.920161,0.818813
3.930213,0.818396
3.940264,0.817971
3.950316,0.817653
3.960368,0.817069
3.970419,0.816594
3.980471,0.816166
3.990523,0.815689
4.000575,0.815354
4.010626,0.815035
4.020678,0.814594
4.030730,0.814135
4.040781,0.813524
4.050833,0.813256
4.060885,0.812730
4.070937,0.812316
4.080988,0.812014
4.091040,0.811388
4.101091,0.811053
4.111143,0.810633
4.121195,0.810134
4.131247,0.809814
4.141298,0.809374
4.151350,0.808954
4.161402,0.808449
4.171453,0.808066
4.181505,0.807728
4.191557,0.807304
4.201609,0.806808
4.211660,0.806505
4.221712,0.806141
4.231763,0.805569
4.241815,0.805174
4.251867,0.804621
4.261919,0.804258
4.271970,0.803904
4.282022,0.803524
4.292074,0.803138
4.302125,0.802746
4.312177,0.802316
4.322229,0.801911
4.332281,0.801554
4.342332,0.801050
4.352384,0.800649
4.362436,0.800255
4.372488,0.799789
4.382539,0.799427
4.392591,0.798995
4.402642,0.798397
4.412694,0.798011
4.422746,0.797611
4.432797,0.797062
4.442849,0.796715
4.452901,0.796392
4.462953,0.795913
4.473004,0.795562
4.483056,0.795256
4.493108,0.794905
4.503160,0.794656
4.513211,0.794235
4.523263,0.793842
4.533314,0.793480
4.543366,0.793276
4.553418,0.792884
4.563469,0.792471
4.573521,0.792070
4.583573,0.791625
4.593625,0.791329
4.603676,0.790886
4.613728,0.790433
4.623780,0.790106
4.633832,0.789857
4.643883,0.789369
4.653935,0.788910
4.663987,0.788444
4.674038,0.788114
4.684090,0.787673
4.694141,0.787254
4.704193,0.786771
4.714245,0.786321
4.724297,0.785724
4.734348,0.785362
4.744400,0.785100
4.754452,0.784680
4.764503,0.784211
4.774555,0.783916
4.784607,0.783485
4.794659,0.783135
4.804710,0.782849
4.814762,0.782348
4.824813,0.782017
4.834865,0.781618
4.844917,0.781442
4.854969,0.781065
4.865020,0.780807
4.875072,0.780575
4.885124,0.780258
4.895175,0.779772
4.905227,0.779512
4.915279,0.779137
4.925331,0.778893
4.935382,0.778692
4.945434,0.778262
4.955486,0.777910
4.965538,0.777387
4.975589,0.776971
4.985641,0.776641
4.995692,0.776383
5.005744,0.776198
5.015796,0.775779
5.025847,0.775365
5.035899,0.775051
5.045951,0.774643
5.056003,0.774356
5.066054,0.774081
5.076106,0.773756
5.086158,0.773497
5.096210,0.773194
5.106261,0.772931
5.116313,0.772453
5.126364,0.772037
5.136416,0.771678
5.146468,0.771332
5.156519,0.770984
5.166571,0.770770
5.176623,0.770432
5.186675,0.770182
5.196726,0.769792
5.206778,0.769452
5.216830,0.769094
5.226882,0.768901
5.236933,0.768636
5.246985,0.768151
5.257037,0.767660
5.267088,0.767333
5.277140,0.766872
5.287191,0.766519
5.297243,0.766158
5.307295,0.765950
5.317347,0.765543
5.327398,0.765059
5.337450,0.764686
5.347502,0.764241
5.357553,0.763986
5.367605,0.763594
5.377657,0.763328
5.387709,0.763059
5.397760,0.762727
5.407812,0.762310
5.417863,0.762061
5.427915,0.761771
5.437967,0.761490
5.448019,0.761158
5.458070,0.760958
5.468122,0.760665
5.478174,0.760532
5.488225,0.760466
5.498277,0.760218
5.508329,0.759843
5.518381,0.759516
5.528432,0.759145
5.538484,0.758830
5.548536,0.758458
5.558588,0.758158
5.568639,0.757987
5.578691,0.757559
5.588742,0.757198
5.598794,0.757072
5.608846,0.756805
5.618897,0.756670
5.628949,0.756128
5.639001,0.755784
5.649053,0.755409
5.659104,0.755157
5.669156,0.754743
5.679208,0.754384
5.689260,0.754050
5.699311,0.753809
5.709363,0.753624
5.719414,0.753175
5.729466,0.752834
5.739518,0.752411
5.749569,0.751901
5.759621,0.751566
5.769673,0.751339
5.779725,0.750977
5.789776,0.750671
5.799828,0.750452
5.809880,0.750154
5.819932,0.749821
5.829983,0.749561
5.840035,0.749466
5.850087,0.749323
5.860138,0.749109
5.870190,0.748795
5.880241,0.748592
5.890293,0.748286
5.900345,0.748069
5.910397,0.747848
5.920448,0.747422
5.930500,0.747066
5.940552,0.746708
