t,density
0.000000,2.000000
0.010035,1.930400
0.020071,1.868258
0.030106,1.812708
0.040142,1.762707
0.050177,1.717847
0.060213,1.677555
0.070248,1.641036
0.080284,1.607825
0.090319,1.577848
0.100355,1.550844
0.110390,1.526109
0.120426,1.503682
0.130461,1.483098
0.140497,1.464192
0.150532,1.447055
0.160568,1.431062
0.170603,1.416380
0.180639,1.402809
0.190674,1.390066
0.200710,1.378284
0.210745,1.367566
0.220781,1.357334
0.230816,1.347722
0.240852,1.338641
0.250887,1.330136
0.260923,1.322021
0.270958,1.314273
0.280994,1.306978
0.291029,1.300070
0.301065,1.293567
0.311100,1.287394
0.321136,1.281301
0.331171,1.275302
0.341207,1.269731
0.351242,1.264440
0.361277,1.259427
0.371313,1.254468
0.381348,1.249857
0.391384,1.245398
0.401419,1.240892
0.411455,1.236579
0.421490,1.232303
0.431526,1.228127
0.441561,1.223941
0.451597,1.220172
0.461632,1.216335
0.471668,1.212823
0.481703,1.209056
0.491739,1.205402
0.501774,1.201723
0.511810,1.198433
0.521845,1.195334
0.531881,1.191927
0.541916,1.188828
0.551952,1.185546
0.561987,1.182467
0.572023,1.179384
0.582058,1.176352
0.592094,1.173454
0.602129,1.170483
0.612165,1.167641
0.622200,1.164826
0.632236,1.161950
0.642271,1.159214
0.652307,1.156578
0.662342,1.153933
0.672378,1.151436
0.682413,1.148889
0.692449,1.146555
0.702484,1.144130
0.712520,1.141601
0.722555,1.139102
0.732590,1.136739
0.742626,1.134444
0.752661,1.131915
0.762697,1.129630
0.772732,1.127449
0.782768,1.125221
0.792803,1.123119
0.802839,1.120674
0.812874,1.118244
0.822910,1.116101
0.832945,1.113893
0.842981,1.111780
0.853016,1.109609
0.863052,1.107479
0.873087,1.105438
0.883123,1.103579
0.893158,1.101396
0.903194,1.099564
0.913229,1.097442
0.923265,1.095520
0.933300,1.093617
0.943336,1.091645
0.953371,1.089656
0.963407,1.087766
0.973442,1.085839
0.983478,1.083852
0.993513,1.082030
1.003549,1.080142
1.013584,1.078323
1.023620,1.076492
1.033655,1.074832
1.043691,1.072985
1.053726,1.071291
1.063761,1.069788
1.073797,1.068111
1.083833,1.066332
1.093868,1.064484
1.103903,1.062692
1.113939,1.060803
1.123974,1.059189
1.134010,1.057595
1.144045,1.055876
1.154081,1.054283
1.164116,1.052814
1.174152,1.051298
1.184187,1.049648
1.194223,1.047990
1.204258,1.046485
1.214294,1.044890
1.224329,1.043480
1.234365,1.042031
1.244400,1.040437
1.254436,1.038880
1.264471,1.037163
1.274507,1.035622
1.284542,1.034190
1.294578,1.032845
1.304613,1.031296
1.314649,1.029964
1.324684,1.028586
1.334720,1.027169
1.344755,1.025567
1.354791,1.024387
1.364826,1.023126
1.374862,1.021928
1.384897,1.020544
1.394933,1.019157
1.404968,1.017777
1.415004,1.016403
1.425039,1.015156
1.435074,1.013932
1.445110,1.012665
1.455145,1.011288
1.465181,1.010070
1.475217,1.008920
1.485252,1.007586
1.495287,1.006324
1.505323,1.004812
1.515358,1.003642
1.525394,1.002455
1.535429,1.001315
1.545465,1.000173
1.555500,0.999055
1.565536,0.997869
1.575571,0.996729
1.585607,0.995579
1.595642,0.994329
1.605678,0.993242
1.615713,0.991971
1.625749,0.990922
1.635784,0.989937
1.645820,0.988661
1.655855,0.987376
1.665891,0.986266
1.675926,0.984983
1.685962,0.983953
1.695997,0.982912
1.706033,0.981780
1.716068,0.980728
1.726104,0.979598
1.736139,0.978636
1.746175,0.977679
1.756210,0.976511
1.766246,0.975566
1.776281,0.974396
1.786317,0.973402
1.796352,0.972517
1.806388,0.971297
1.816423,0.970359
1.826458,0.969250
1.836494,0.968131
1.846529,0.967066
1.856565,0.965929
1.866600,0.964959
1.876636,0.964078
1.886671,0.963201
1.896707,0.962237
1.906742,0.961316
1.916778,0.960352
1.926813,0.959482
1.936849,0.958442
1.946884,0.957551
1.956920,0.956538
1.966955,0.955544
1.976991,0.954551
1.987026,0.953582
1.997062,0.952679
2.007097,0.951676
2.017133,0.950811
2.027168,0.949894
2.037204,0.948872
2.047239,0.947908
2.057275,0.946962
2.067310,0.945968
